dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
mimic3_mort_hosp,CF-Iso,0,0.8579129964296014,0.07251368421959346,0.25828840842215905,0.044349158011077194,0.5274764819765885,0.00014360266693061596,1.579368695608884e-05
mimic3_mort_hosp,CF-Logit,0,0.8610103148154203,0.07295654689112377,0.25375855477472287,0.0,0.045204401262557155,0.000950298672076556,1.2506197456407709e-05
mimic3_mort_hosp,RC-Iso,0,0.8581021690940026,0.07286491750478843,0.25469579274167364,0.008612294179890179,0.03312213759002549,0.000231034361940709,2.5310857613461824e-05
mimic3_mort_hosp,RC-Logit,0,0.8559479393656523,0.07445052428337764,0.2384772963292925,4.107825191113079e-15,0.11193054961155721,0.0008892536397995462,5.746440908466523e-07
mimic3_mort_hosp,RF-NoCal,0,0.8610685827707205,0.07565121353586618,0.2261959573511656,0.0,0.04692708315411594,0.0030486269990537334,6.564369945639011e-05
mimic3_mort_hosp,CF-Iso,1,0.8582603206038049,0.06653395855190883,0.2576087959090567,0.00013356347666082513,2.4400252410697317e-05,0.0003878809615618417,0.00016702346384782197
mimic3_mort_hosp,CF-Logit,1,0.8582606449046394,0.06679866691381273,0.2546551589422519,6.175706001809722e-06,0.2796103626051736,0.0002820595971545529,4.982470834099041e-06
mimic3_mort_hosp,RC-Iso,1,0.8520800115018696,0.06834341490457944,0.2374187379349606,1.507516328214109e-06,2.168046884209443e-06,0.0007540518567976885,0.00027266323327482434
mimic3_mort_hosp,RC-Logit,1,0.8583079928264655,0.06706538791985651,0.2516790647319742,4.593666591556911e-08,0.020793766665871967,0.0002765225684503691,5.231599519421499e-05
mimic3_mort_hosp,RF-NoCal,1,0.8595230399527819,0.06913517341946494,0.22858423342014944,0.0,3.037860296890709e-11,0.0026503430625066005,6.619633186340086e-05
mimic3_mort_hosp,CF-Iso,2,0.8389174051326775,0.07360875801212285,0.2200761333729755,0.24917798759668242,0.9356764695348139,0.00014588320358573993,1.5067597475256949e-05
mimic3_mort_hosp,CF-Logit,2,0.8397434318201041,0.07464396601043453,0.20910755508676804,1.2589929099249275e-13,0.03263461946956773,0.0010173617776509294,7.5683015191997474e-06
mimic3_mort_hosp,RC-Iso,2,0.8310664048674292,0.0745484403010166,0.2101197006882366,7.66140202567156e-05,0.6551438639534897,0.0002667772020780853,1.3217960006547656e-05
mimic3_mort_hosp,RC-Logit,2,0.8316829223627298,0.07567799428038155,0.19815147664884747,1.4237500067793007e-12,0.05653764363145778,0.0011877640008763303,4.3390360090541264e-05
mimic3_mort_hosp,RF-NoCal,2,0.8395984896450518,0.07494685676829699,0.2058982667165069,2.041700142285663e-13,0.00046354441647014573,0.0013292796371763564,6.694510746857842e-09
mimic3_mort_hosp,CF-Iso,3,0.8442077907861836,0.07215652323117816,0.24510726476738232,0.2658940679200539,0.6716619441374994,0.00016311357678445935,1.8882812906310726e-05
mimic3_mort_hosp,CF-Logit,3,0.8469381032548268,0.07283041833790464,0.23805705644807662,4.316991208952459e-12,0.0005574794783341744,0.0007984314025143635,1.3048547200418958e-06
mimic3_mort_hosp,RC-Iso,3,0.8438009501057644,0.07222055989343495,0.24443732102617244,3.818084194795457e-05,0.2889324968621546,0.00017391892432645051,6.666461861338915e-06
mimic3_mort_hosp,RC-Logit,3,0.8399802559629932,0.0733162510523835,0.23297433391274303,2.984180680343229e-10,0.14121421068915052,0.0006909359521375394,1.6354299442097794e-08
mimic3_mort_hosp,RF-NoCal,3,0.845401149573243,0.07426127606170506,0.22308759765932928,1.1102230246251565e-16,0.00022163798405490262,0.0018647076299947805,2.157388001043946e-06
mimic3_mort_hosp,CF-Iso,4,0.8560928096100211,0.07012292111158364,0.2621564929482084,0.15354709833731073,0.32776346988429683,0.00015361123272971438,9.541553243126539e-07
mimic3_mort_hosp,CF-Logit,4,0.8577579879630084,0.07060193050072684,0.2571162869500334,1.4552716809390631e-09,0.35979480180733514,0.0003668784674523384,2.7487875624889424e-11
mimic3_mort_hosp,RC-Iso,4,0.8531397302278546,0.07185547282593946,0.24392633349671178,2.482640394163571e-05,0.33048806729226765,0.0002053852528712291,2.151385714240654e-06
mimic3_mort_hosp,RC-Logit,4,0.8526669357864005,0.07160533644180642,0.24655830466939432,8.115397243102507e-12,0.26938869495015116,0.0005079848739005841,7.78228569108393e-06
mimic3_mort_hosp,RF-NoCal,4,0.8590183653830471,0.07316318399948757,0.23016640759507723,0.0,0.0009058763751242565,0.002772326201108656,1.6590877277283406e-05
mimic3_mort_hosp,CF-Iso,5,0.8572946437655502,0.06902340920964677,0.251171456103753,0.2469325732673927,0.06192724100929406,6.723211975125456e-05,1.971989245284396e-05
mimic3_mort_hosp,CF-Logit,5,0.8585574802381596,0.069531335529969,0.24566101071705493,3.5905722839402188e-12,0.986403412001686,0.0005473773821246528,9.829458605200223e-06
mimic3_mort_hosp,RC-Iso,5,0.8544554426307528,0.06992689783830934,0.2413695920408917,0.39278873933701297,0.6874329891684599,6.0672698116655126e-05,9.220091338694903e-06
mimic3_mort_hosp,RC-Logit,5,0.8525889881920848,0.06979050678844624,0.24284928584968712,3.144706717250756e-12,0.022909579692266684,0.0005446028881755901,0.00010550924794717966
mimic3_mort_hosp,RF-NoCal,5,0.8596877793165149,0.07161874637447084,0.22301488469836084,0.0,1.772738539793156e-05,0.0023032095641333274,3.806523509094512e-08
mimic3_mort_hosp,CF-Iso,6,0.8534541505840539,0.07420778786074496,0.2517426963827514,0.5446724870404345,0.27767672400478083,7.222826130230755e-05,8.873525117434222e-06
mimic3_mort_hosp,CF-Logit,6,0.855506954956701,0.07590398356683961,0.234639493847847,1.6653345369377348e-15,0.000598141325533296,0.00098817460057339,1.0981042368164726e-05
