dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
mimic3_mort_icu,CF-Iso,0,0.8722125723797364,0.05240877373446546,0.23169631953110437,1.1917279315598606e-06,0.04144075971241799,0.0006321608674629351,1.2148045683827418e-09
mimic3_mort_icu,CF-Logit,0,0.864749275314977,0.053215498649269936,0.21986986993107038,0.0,0.6787765751677597,0.0009774499173471978,1.2444214989715244e-05
mimic3_mort_icu,RC-Iso,0,0.8563764470621319,0.05315134616048827,0.22081033447030807,0.04669441726356782,0.6205830822996763,0.00020693353381286795,8.98610411148486e-06
mimic3_mort_icu,RC-Logit,0,0.8609130250149482,0.054866923123261364,0.19566026892394695,1.0091927293842673e-13,0.008646738177308967,0.0005100962915892053,2.9620838046461774e-06
mimic3_mort_icu,RF-NoCal,0,0.8651838732905457,0.05354463333046068,0.215044811664872,2.6917135187431995e-11,0.3272281262957917,0.0007936812820455406,1.7339039358807576e-05
mimic3_mort_icu,CF-Iso,1,0.8583645865224343,0.04960600940699647,0.2224185284243858,8.881784197001252e-16,3.0299710116427713e-15,0.0008561280753738292,0.0002944948373076077
mimic3_mort_icu,CF-Logit,1,0.8692169451207362,0.04859738083066299,0.23822892926158723,1.4432899320127035e-15,0.003816071676057892,0.0007537242203095196,1.6321218993680908e-05
mimic3_mort_icu,RC-Iso,1,0.8552866485404244,0.0499948202927591,0.21632386077564558,0.0013363223701395865,0.39227982076218526,0.0003528727193901021,4.019444619870848e-05
mimic3_mort_icu,RC-Logit,1,0.8706181753240128,0.04921697536813754,0.22851669403063324,7.593925488436071e-14,9.875257953400891e-05,0.00045557616013308715,0.00018140062878397545
mimic3_mort_icu,RF-NoCal,1,0.8642961623878043,0.0495583091765747,0.2231662365309085,0.0,7.792411813885367e-10,0.0013199998322334767,7.400065806146508e-05
mimic3_mort_icu,CF-Iso,2,0.8417909417288042,0.05334737115051545,0.191110324802524,0.017232144403422245,0.009117620024259046,0.00014621844181286092,3.1961007234790195e-05
mimic3_mort_icu,CF-Logit,2,0.8496035243584997,0.053618341039941154,0.18700169224727703,3.47499806707674e-14,0.7575700713917968,0.0005960119382607289,1.8134620271401796e-06
mimic3_mort_icu,RC-Iso,2,0.8231150146603442,0.054354976951333255,0.17583230994681487,9.8036601059448e-10,0.046834232329402196,0.000635186167252834,0.0001359139831498654
mimic3_mort_icu,RC-Logit,2,0.8358789155458408,0.05524770808610115,0.16229610409322803,1.297056906324201e-10,0.03255463287301142,0.00038149421027998,1.4117856146503503e-07
mimic3_mort_icu,RF-NoCal,2,0.8513460193786835,0.05322413909304468,0.1929788543437494,6.056640489471299e-06,0.3599957493375996,0.00032637216125541246,2.724076504097662e-06
mimic3_mort_icu,CF-Iso,3,0.8632107685706814,0.052389309950783274,0.2372869651281002,9.12150730503214e-08,0.009853776440198851,0.0005444652838625399,2.484484144259e-06
mimic3_mort_icu,CF-Logit,3,0.8644078123928944,0.05288558919310648,0.2300618528406535,0.0,0.9925837444267511,0.0010370410227628919,1.3905583468065954e-05
