dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
mimic3_los_3,CF-Iso,0,0.7236103358612961,0.20724602613965193,0.15375520821061062,0.8462051354540201,0.7903375345914945,0.00011925491119915514,7.0431603398360724e-09
mimic3_los_3,CF-Logit,0,0.7260027556916742,0.23610746832312923,0.03590568614141376,0.0,0.0,0.028987780917035834,0.01558744608407419
mimic3_los_3,RC-Iso,0,0.7225694154618594,0.20821906728951084,0.14978200293086252,0.06558071247521613,0.18198747766340195,0.00044313438820174953,1.7783868855679988e-07
mimic3_los_3,RC-Logit,0,0.723343351033424,0.2077876151188209,0.15154374552807193,0.005306396380362344,0.7355616540226197,0.0006064384171121324,1.10464352288463e-05
mimic3_los_3,RF-NoCal,0,0.7254396704879504,0.20760205673654775,0.15230143346784308,3.928186289581248e-07,1.6037561946485449e-06,0.0012267242103548852,2.094698706963001e-06
mimic3_los_3,CF-Iso,1,0.7322164849703104,0.2040749981385034,0.16622641659126902,0.0774019149328582,0.01062493596575439,0.0004183673967533134,0.00011374558629894241
mimic3_los_3,CF-Logit,1,0.730987746737192,0.41967772704032197,-0.714645133127755,0.0,0.0,0.21547169794719104,0.1783226341601787
mimic3_los_3,RC-Iso,1,0.7256804984521927,0.20568487873062286,0.15964905080714387,0.13034078875261124,0.29045899227132255,0.0003689286437844729,5.047674010293182e-05
mimic3_los_3,RC-Logit,1,0.7290092893766212,0.2050883633742679,0.16208618789283857,0.007945547265002073,0.024075971803922815,0.0005773864315477557,0.00024112735338537535
mimic3_los_3,RF-NoCal,1,0.7326719528970087,0.2048422386906713,0.16309176065422293,5.794932977920553e-09,2.3038913717256716e-12,0.0014981759021321663,5.5842541496295216e-05
mimic3_los_3,CF-Iso,2,0.7197632173431613,0.2075285322177149,0.15421088541567374,0.00924926598655107,0.9940824489652718,0.0006070759500887736,5.724872826047118e-06
mimic3_los_3,CF-Logit,2,0.7212863933323136,0.22296322667791643,0.09130629864936735,0.0,8.581893339141816e-217,0.015823994635714055,0.00024712558012496744
mimic3_los_3,RC-Iso,2,0.7190059923355152,0.20833162092553034,0.15093787191792818,0.13541036304006526,0.18224753522736659,0.00033535221322493274,3.770078393940581e-05
mimic3_los_3,RC-Logit,2,0.719558018763292,0.20820120017661467,0.15146940581627955,0.015734788343464423,0.8141504826024911,0.0005368778334671708,9.914343363376716e-06
mimic3_los_3,RF-NoCal,2,0.7221037920239545,0.207847554101575,0.15291070161058617,6.514184134176482e-05,3.5204029646788757e-06,0.0009170638491258936,2.1046210155029776e-05
mimic3_los_3,CF-Iso,3,0.7253827434748487,0.20672927726904267,0.15593369227682807,0.5610879992587996,0.5072229810213933,0.00019445101296753926,2.9509910134142288e-05
mimic3_los_3,CF-Logit,3,0.7256780682767524,0.23010035014310856,0.06051065665778943,0.0,0.0,0.02354480883128077,0.0004625668583246024
mimic3_los_3,RC-Iso,3,0.722019616591985,0.2076046907217167,0.1523594186640581,0.254470437564557,0.778475043069807,0.0002703825387755214,1.035272282941726e-05
mimic3_los_3,RC-Logit,3,0.7237183077643604,0.2075649217536123,0.1525217935657328,0.00837931593310337,0.35263752434452267,0.0005430521585594505,2.281391550349762e-10
mimic3_los_3,RF-NoCal,3,0.7245852161970584,0.2073881409271891,0.15324358170046848,1.3334914359397487e-06,4.74527288332784e-07,0.0011717317225389005,1.4992178803259223e-05
mimic3_los_3,CF-Iso,4,0.7277213704193602,0.20553370557011288,0.15907047254520257,0.24890087065426525,0.21616071275827142,0.0002971794549414322,6.548648057795104e-05
mimic3_los_3,CF-Logit,4,0.7283502304366662,0.24514819754425504,-0.0030099800198553073,0.0,0.0,0.039865699528020646,0.0326634953482649
