dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
breast_cancer,CF-Iso,0,0.9961787184009406,0.024027679095150082,0.896738188650605,0.9641488634848175,0.4087318810343714,0.0008029105839361216,0.00023290312651399523
breast_cancer,CF-Logit,0,0.9970605526161082,0.02206478190893548,0.9051739729865987,0.9912649826665116,0.8048824865203057,0.0005028922386209634,0.00011876111613655505
breast_cancer,RC-Iso,0,0.9957378012933569,0.02593101260295387,0.8885583863134958,0.9562519192475778,0.8708947836361436,0.001281460047318994,0.00032707212749446147
breast_cancer,RC-Logit,0,0.9963256907701352,0.02260732546642726,0.902842327459759,0.9859060139497073,0.5729700638424287,0.00048041398776537704,9.076942645641506e-05
breast_cancer,RF-NoCal,0,0.9966196355085244,0.025794802696040512,0.8891437646039211,0.6031396726150009,0.018733660883525745,0.005217281564455044,0.00044064139846540935
breast_cancer,CF-Iso,1,0.9852292768959435,0.03185620450109714,0.8630941687512372,0.0,0.01731016434658991,0.0019123309198243183,1.5178642531273397e-05
breast_cancer,CF-Logit,1,0.9872868900646677,0.03189707745356789,0.8629185123721665,0.0008304403886230105,0.037127395057142874,0.002013650339329975,5.2803887950322234e-05
breast_cancer,RC-Iso,1,0.9802322163433275,0.03504411504525139,0.8493937436745744,0.0,0.00044965964105388227,0.002406880316761035,0.0006047366102925646
breast_cancer,RC-Logit,1,0.985082304526749,0.03586820980903766,0.8458520983206834,0.08569355552294022,0.3173628249858501,0.0009293643022267644,0.0001579686905381341
breast_cancer,RF-NoCal,1,0.9897854203409758,0.032939613334114236,0.8584380903141042,0.9583958650573009,0.4023080328071196,0.0010060822594301876,2.993226454312994e-05
breast_cancer,CF-Iso,2,0.9790470723306544,0.03403239396880145,0.8571840941386735,0.0,0.01959419573289876,0.001181382609537087,0.00014863999589154905
breast_cancer,CF-Logit,2,0.9941159586681975,0.03189564013224506,0.8661509166034762,0.9716232353378492,0.07714715800590341,0.001207463343103015,0.0001388571648966547
breast_cancer,RC-Iso,2,0.9804104477611941,0.03904644414853609,0.8361427851108864,0.0,3.633300956828301e-05,0.0020497336229554305,0.0003124632337600058
breast_cancer,RC-Logit,2,0.9935419058553387,0.03233532929364845,0.8643057744151013,0.00019787954111183392,0.01567578960254327,0.0029185427605322575,9.952451878649016e-05
breast_cancer,RF-NoCal,2,0.9932548794489093,0.031487963721030965,0.8678617182596633,0.943811202487224,0.22101015890315556,0.002760967550543979,0.0002911469224887575
breast_cancer,CF-Iso,3,0.9946729801716484,0.030163426698237836,0.8694867179515874,0.3668827778407513,0.0093755085691307,0.0025822786499258865,3.638619536494554e-05
breast_cancer,CF-Logit,3,0.995560816809707,0.02791775352181122,0.8792034580154955,0.8175512354588121,0.010311915916847107,0.0012908706183111687,4.1471624134122636e-05
breast_cancer,RC-Iso,3,0.9917875110979579,0.039614395800593775,0.8285935857346608,0.18333294806486022,0.002260409941047052,0.009799170989840922,0.0006905416814987211
breast_cancer,RC-Logit,3,0.9960047351287363,0.028893944832030352,0.8749796033096479,0.9164029138680967,0.816812585211824,0.0017491507380113461,0.00024049205784181012
breast_cancer,RF-NoCal,3,0.9958567623557266,0.0233344881777489,0.8990346598393674,0.9940746980310384,0.23399042604339826,0.00038417751577770454,5.0295652962332646e-05
breast_cancer,CF-Iso,4,0.9877334599556822,0.04039421792949172,0.8130472734288908,0.0,0.07253012288492834,0.009321647178103333,0.0023072240285117785
breast_cancer,CF-Logit,4,0.9958056346945234,0.04630193192050128,0.7857051612397312,0.012219481137240806,0.007584152874704576,0.018863876005264315,0.002924520074659984
breast_cancer,RC-Iso,4,0.9750712250712251,0.05873568217358318,0.7281592145555957,0.0,3.141346502765761e-37,0.008703428819615196,0.002634129673737235
breast_cancer,RC-Logit,4,0.9965178854067742,0.04195609782188935,0.8058185729012557,0.0988739094424873,0.010505835791534043,0.015138480965806547,0.002084484784199311
breast_cancer,RF-NoCal,4,0.9954099398543843,0.03559301966188251,0.8352682038725694,0.22988245003629193,0.3812656522419857,0.010780804073649283,0.002830964984693072
breast_cancer,CF-Iso,5,0.9873323397913563,0.016611997654170815,0.9276078355580315,0.0,0.6359768735477807,0.0010491222217559868,3.550142756391308e-05
breast_cancer,CF-Logit,5,0.9928464977645305,0.015299222938516889,0.9333286769083201,0.6030224741193524,0.9249150641147262,0.0005413031664572262,1.702556368122288e-05
breast_cancer,RC-Iso,5,0.9909836065573769,0.01892472115144527,0.9175293932653634,0.8371463875379215,0.6743028922044364,0.002643640475413954,0.00016873521182083907
breast_cancer,RC-Logit,5,0.9916542473919523,0.021491060409453963,0.9063457380875047,0.017584425095512723,0.02597535334681823,0.001827643499187847,2.4854714745076343e-06
breast_cancer,RF-NoCal,5,0.9922503725782414,0.02039984943325392,0.9111010436247723,0.6176936464111269,0.12182099102388769,0.001647555748245886,4.132175691074545e-05
