dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
hastie,RC-Logit,4,0.9806094429189225,0.05678303127210523,0.772744146724796,0.02696114550794393,0.009277129283964201,0.0006623703771540938,4.747355999672312e-05
hastie,RF-NoCal,4,0.9855739235806161,0.10813311357353689,0.567231927533065,0.0,7.338467913537794e-155,0.058251138902595624,4.129757172526336e-05
hastie,CF-Iso,5,0.9858521745044427,0.04788817877340829,0.8084165464055901,0.0007037118777236673,0.007663136829162764,0.0005001402431359136,6.846155673063241e-06
hastie,CF-Logit,5,0.9862724641598052,0.05336632147354401,0.7865004592906257,0.0,0.3913027734896205,0.006604717881226336,0.0023301600200971435
hastie,RC-Iso,5,0.9791539887066325,0.05742649123152201,0.7702571741138475,0.0,3.3914126730014624e-06,0.0006003209100059539,3.1474934153904227e-08
hastie,RC-Logit,5,0.9842561406519,0.04933430810869544,0.802631100821839,0.1822892572464635,0.15674026736042174,0.00017649966642216695,6.63191373287212e-05
hastie,RF-NoCal,5,0.9862995796214415,0.1116223989722774,0.5534387558401608,0.0,1.2594953320969851e-158,0.06247370735208001,0.0002357284265998319
hastie,CF-Iso,6,0.982639375048616,0.052882635606249846,0.7884483024052411,0.37386280815423645,0.3588345161228371,0.00044924670253742286,2.6332073919724408e-05
hastie,CF-Logit,6,0.9825462546254627,0.053017443633434594,0.7879090163678985,0.19928184554292516,0.8747473619121547,0.00042032822689303786,0.00011394980260122259
hastie,RC-Iso,6,0.9784391772510583,0.05732450404307874,0.7706790517328583,0.0,0.6897548070628976,0.00020379882597759292,8.899166372831045e-07
hastie,RC-Logit,6,0.9827102710271026,0.05229133563378796,0.7908137388387321,0.8106882413873105,0.8549221815190151,7.310511683185124e-05,6.944112422428019e-06
hastie,RF-NoCal,6,0.9818341834183418,0.10982688122435758,0.5606485399565654,0.0,1.2425910726513067e-148,0.05515713720853914,0.0006127808582349133
hastie,CF-Iso,7,0.9887899492234169,0.04335232986706922,0.8265795816249472,0.08554655510208464,0.0024357917479318624,0.0006370249936966828,3.839528626294099e-05
hastie,CF-Logit,7,0.9879392281105992,0.04438638475198737,0.822443097350281,0.024972157839819098,0.0008414386952945583,0.00031824060666483535,1.0002842839996099e-05
hastie,RC-Iso,7,0.9826322217955281,0.05101418550078659,0.7959301975294956,0.0,0.041127496021723116,0.0003268909575544248,7.939471204523588e-06
hastie,RC-Logit,7,0.9840131990669626,0.05058198447841739,0.7976591122695157,0.07223787208876209,0.4541580322554748,0.0006855066184470717,0.0001602030130750132
hastie,RF-NoCal,7,0.9873827480514309,0.10937762613524232,0.5624614929945824,0.0,2.0054616430782138e-160,0.061444809885338125,0.00023639109362906505
hastie,CF-Iso,8,0.9836424791413267,0.05088657198312035,0.7964015908747826,0.779109806338281,0.8443155634907654,0.0001319378336028471,4.511167348454661e-06
hastie,CF-Logit,8,0.9813263306517581,0.05472520607967319,0.7810431227207237,0.5583685874718839,0.44210511634366456,0.0001909578377593956,1.042406059979409e-05
hastie,RC-Iso,8,0.9800313324655556,0.056383126798181735,0.7744097417011485,0.0,0.9196944406885089,0.000365847382757418,3.121329586773758e-05
hastie,RC-Logit,8,0.9786589811436173,0.05858307848380057,0.7656076816312953,0.19891286263948293,0.3629179033886767,0.00021868658937196166,9.485346821957275e-06
hastie,RF-NoCal,8,0.981903367262019,0.11018265018612752,0.5591565433305825,0.0,1.7541365650408386e-152,0.055458227299670405,0.00020405563030318012
hastie,CF-Iso,9,0.985211370910384,0.04798851219923618,0.8080118199710501,0.0,0.20032557984222543,7.396141627545464e-05,4.786208648561433e-06
hastie,CF-Logit,9,0.9855796586059744,0.048363507097477776,0.8065115736676298,0.01571664198355105,0.9372608066342658,0.000775296881714962,0.0002469381624827296
hastie,RC-Iso,9,0.9775675675675676,0.0586851330196407,0.7652177288510107,0.0,0.6112733247040592,0.0001183696052546483,3.421182375202517e-05
hastie,RC-Logit,9,0.9822332859174965,0.053055623632374996,0.7877397703185567,0.7738600696315548,0.9103530125043087,4.1995287314207826e-05,1.0560620559716502e-05
hastie,RF-NoCal,9,0.9852827169274537,0.10959808205425565,0.561529721511246,0.0,1.0646940393648647e-157,0.059225693746330334,0.0002485543906472791
