dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
mimic3_los_7,CF-Iso,0,0.7345609492135878,0.06523390611365344,0.05679505915546568,0.2747014396015983,0.23978136613509393,0.00017808056259412437,2.4564495096217157e-05
mimic3_los_7,CF-Logit,0,0.7353147091181556,0.07129482801489187,-0.030838685685155243,0.0,9.845982852922563e-243,0.004190778473246342,0.0008813758560434117
mimic3_los_7,RC-Iso,0,0.7302188102948391,0.065037337886696,0.05963720266525785,0.37450534612976893,0.061930567061004214,9.913701491569365e-05,4.175867385397529e-05
mimic3_los_7,RC-Logit,0,0.7349013388378398,0.06530981295048517,0.05569753629030372,3.569518315804654e-05,0.09340118008459876,0.0002790296752254905,3.446771640657403e-05
mimic3_los_7,RF-NoCal,0,0.7351380707164348,0.0650849213041135,0.05894920286447536,0.011731911576786214,0.06953288165928599,0.00015725205610028742,1.7952023097133998e-05
mimic3_los_7,CF-Iso,1,0.7505609746439461,0.06550426257588933,0.07035899106844845,0.008532058532091269,0.06098882240230379,0.00017949014360042645,2.7451550441681237e-05
mimic3_los_7,CF-Logit,1,0.7521494403452964,0.095071217556233,-0.3492572717223288,0.0,1.0283755842801388e-143,0.027666504613489268,0.0022823877412325323
mimic3_los_7,RC-Iso,1,0.749587381150372,0.06594627526039121,0.06408591658715335,0.19580689237575788,0.10569644716497525,6.044464568453346e-05,3.0177293049352362e-05
mimic3_los_7,RC-Logit,1,0.747714715794846,0.06571211099340803,0.06740919200242512,0.0028567590668858722,0.12747671751997422,0.00016105264517437106,2.3500743608533678e-05
mimic3_los_7,RF-NoCal,1,0.7529147307541699,0.06558274688262497,0.0692451363782367,2.7334025587300026e-05,0.06159179368791416,0.0003552471375613783,1.0732304866145727e-05
mimic3_los_7,CF-Iso,2,0.7309166814316087,0.06554777306646072,0.06346586832235668,0.6945563772857233,0.40140564571905124,6.992674641047811e-05,1.180024283035153e-05
mimic3_los_7,CF-Logit,2,0.7316827050850461,0.9191020783392588,-12.131955924540959,0.0,0.0,0.8533533708276624,0.8493192749687071
mimic3_los_7,RC-Iso,2,0.7285780530209072,0.06589997105143676,0.05843373040817135,0.002237443087100832,0.5558028505553354,0.00027613481626279296,1.9387259540783758e-05
mimic3_los_7,RC-Logit,2,0.7294937101346562,0.06614620731484588,0.05491555344576571,0.05089007175014204,0.49515230226137963,0.0001588487821946422,1.7287087579253256e-05
mimic3_los_7,RF-NoCal,2,0.7334005138199859,0.06572041089223717,0.060999251857838055,0.00597343054393884,0.24203764338797873,0.00030113922731525827,4.82693345195366e-06
mimic3_los_7,CF-Iso,3,0.7507739712732919,0.06652722080004748,0.07439929327050576,0.9184756486623199,0.4954708411558246,1.9903612171159283e-05,2.5402535445202333e-06
mimic3_los_7,CF-Logit,3,0.7516621107229124,0.07202280366596432,-0.002061369348659081,0.0,0.0,0.003825265483419904,0.002895128767529649
mimic3_los_7,RC-Iso,3,0.7446313998878537,0.06698030584031399,0.06809547013711947,0.05519612403226104,0.11700178524878416,0.00014542656651819573,2.069558313958292e-05
mimic3_los_7,RC-Logit,3,0.745550541321601,0.06746999940393898,0.06128230850010341,0.0013020781811655668,0.7208409824715607,0.000167291406529921,1.9276708373210207e-07
mimic3_los_7,RF-NoCal,3,0.7500629475069014,0.06711872910066308,0.06616957174445992,4.38419211468144e-06,0.43623884712196515,0.0005067204398662396,1.0175135284146857e-08
mimic3_los_7,CF-Iso,4,0.7547026121707839,0.06471361730445893,0.07694165548800913,0.1938089014518285,0.15692933810069076,0.00012482075601464825,9.740617493228813e-06
mimic3_los_7,CF-Logit,4,0.7556425680334857,0.07289250871900932,-0.03971994192416384,0.0,0.0,0.008058139827544487,0.0047715515131143945
mimic3_los_7,RC-Iso,4,0.748493265400034,0.06522154392867704,0.06969672113858849,2.803228760228649e-10,0.23105048026149133,0.00013988965325999677,7.983647985557794e-06
mimic3_los_7,RC-Logit,4,0.7533373131523345,0.0649383875465145,0.07373559073426095,0.0005701740180752424,0.09148328908895999,0.00018393373341193633,1.2897947215630384e-05
mimic3_los_7,RF-NoCal,4,0.7558039718040879,0.06510412468421264,0.07137155895362268,1.2200219282609837e-06,0.16074962356699263,0.0005437903796859793,3.347093613773121e-06
mimic3_los_7,CF-Iso,5,0.7350424562168175,0.06758920370166853,0.06724164407430477,0.3008012494717016,0.46757776959487285,7.252980045475773e-05,4.068538966802212e-06
mimic3_los_7,CF-Logit,5,0.7352503586484069,0.07773394369297262,-0.07275987210495538,0.0,0.0,0.009925791607540055,0.005840227884269568
mimic3_los_7,RC-Iso,5,0.729913215775984,0.06795947697749337,0.06213172306493686,0.003916663964626532,0.4168555188159321,0.00022414107113060067,1.7439702836540424e-07
mimic3_los_7,RC-Logit,5,0.7358291429740342,0.06791742848367387,0.06271200929137843,0.005561292927880546,0.09215496402664193,0.00018208721351777973,2.4875368178314305e-05
mimic3_los_7,RF-NoCal,5,0.7335557198571556,0.06795991902070586,0.06212562268976529,0.0008490916168373275,0.5780417255366006,0.0003715748582358798,1.1465546137559665e-05
mimic3_los_7,CF-Iso,6,0.7247276244580183,0.06442749458201981,0.060406470037045135,0.1094249063842131,0.11903804816035184,0.00015712008681122413,3.405246568743966e-05
mimic3_los_7,CF-Logit,6,0.7218642762197134,0.07015151999593391,-0.023071201710851197,0.0,0.0,0.0028280826499463264,0.0020171920015336683
mimic3_los_7,RC-Iso,6,0.7159554591529937,0.06450860625314027,0.059223558891986605,0.17777662262904925,0.9550250559974991,0.00010031601120801556,1.0312987739047723e-09
mimic3_los_7,RC-Logit,6,0.7223572310210282,0.06464536684695606,0.057229078586072846,0.03914433354544644,0.28812189689398915,0.00010171412675367432,1.1280098637721372e-05
mimic3_los_7,RF-NoCal,6,0.7219822519316932,0.06472417261196964,0.05607979616540881,0.03339293125777931,0.06637615806091988,0.00020017523436446433,2.1793670779069764e-05
mimic3_los_7,CF-Iso,7,0.7324339529626285,0.07012723238996309,0.06682869917953504,0.0015686849957694537,0.33115272263721973,0.00015991344208738094,6.801848988327672e-06
mimic3_los_7,CF-Logit,7,0.7301665511565452,0.08170411484905522,-0.08722293091649069,0.0,0.0,0.011595651390824177,0.006656494180450657
mimic3_los_7,RC-Iso,7,0.7288653863607297,0.0702016071244816,0.06583900708142287,0.0047659753021597195,0.023807514820730787,0.00010820335220956717,3.756733583557101e-05
mimic3_los_7,RC-Logit,7,0.7294070978907026,0.07058401046058231,0.060750430127425536,0.0028846338601924426,0.3466262380977757,0.00020927296118867207,1.1353742905876496e-05
mimic3_los_7,RF-NoCal,7,0.7320309567125819,0.0704501817391579,0.06253126644168783,5.8108383327315494e-08,0.30667569610118506,0.000605132477667775,2.4717488955903165e-05
mimic3_los_7,CF-Iso,8,0.7448523227225673,0.06643096995057689,0.07573844216658043,0.18749758931335192,0.2778363729464126,0.00013283718666989535,4.395730772180924e-06
mimic3_los_7,CF-Logit,8,0.7472088778899241,0.07089311378473157,0.013656133049298358,0.0,5.77142621258698e-284,0.0025612298805849634,0.0014677247696811948
mimic3_los_7,RC-Iso,8,0.7334058510179433,0.06710821201061977,0.06631589720131437,3.5066657032567505e-06,0.00034348608582235497,0.0003832031109866686,0.00012365748051982846
mimic3_los_7,RC-Logit,8,0.7394000172532781,0.06676464414500144,0.0710959955640833,0.0669884065038221,0.8770079266376649,0.00013865458672541504,1.2228193151852747e-06
mimic3_los_7,RF-NoCal,8,0.7468698779330574,0.06694909108710957,0.06852976450984294,1.881511961066007e-05,0.5792128849204334,0.0005608529525682335,3.545166259817905e-07
mimic3_los_7,CF-Iso,9,0.736335141129189,0.06548816573314363,0.061147610589529,0.09269196200826357,0.34295435968620724,0.0001474056618791378,1.4836908947127277e-05
mimic3_los_7,CF-Logit,9,0.7364873648736487,0.07250714319960885,-0.03947795575266633,0.0,0.0,0.006416579386916093,0.004339191355653983
mimic3_los_7,RC-Iso,9,0.725848508485085,0.06570093338514597,0.05809732789745237,0.24317775888154758,0.6060603204563393,0.0001237034937808498,7.44862650923648e-06
mimic3_los_7,RC-Logit,9,0.7322734338454495,0.06614736858946325,0.05169713705994805,0.0001663473949063965,0.11515447716064518,0.0004077635906662553,6.0119210028618844e-05
mimic3_los_7,RF-NoCal,9,0.7332144154774881,0.06560641454267874,0.05945237029482653,0.007761298501873237,0.17093922443491227,0.0002512377665503587,8.453870624837982e-06
