n_estimators,dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
160,hastie,CF-Iso,1,0.9823091106912775,0.053320211230658006,0.7866280215345656,0.19458998143312667,0.0065444604837974285,0.0002491283675278203,1.8260856139403336e-06
160,hastie,CF-Iso,2,0.9821455238142645,0.052058558479981476,0.7917653958852223,0.0,0.008870197610683061,0.00023074115269549507,2.3338233386393495e-06
160,hastie,CF-Iso,3,0.9800228168392897,0.057665720701205875,0.7692567159797667,0.21575049877562913,0.15010742788905101,0.0001932189851939429,9.30826190342698e-07
160,hastie,CF-Iso,4,0.9838905626396592,0.05026402927145251,0.7988343593987515,0.0,0.02493731808851668,0.00025050854287521444,3.69230899262948e-05
160,hastie,CF-Iso,5,0.9830550590561419,0.051931905625689015,0.7922390434059859,0.0,0.013184611664445877,0.0005260304446464065,4.2520694478432214e-06
160,hastie,CF-Iso,6,0.9803664810925536,0.056509080146975074,0.7739410735194516,0.09866285238083727,0.011096459167384486,0.0004514968797253298,4.226809453647109e-05
160,hastie,CF-Iso,7,0.9863049012914604,0.04885361548527617,0.8045730307328622,0.0002797685325381938,4.776088818810859e-05,0.0011595394870957446,7.918657934472306e-05
160,hastie,CF-Iso,8,0.9806470456436848,0.05444495060193568,0.7821644316867691,0.5101619547352162,0.2547379039163895,0.0001627408020198711,5.8718297793119435e-08
160,hastie,CF-Iso,9,0.9848544185633001,0.04886823171954211,0.8044923162002672,0.20713896750717586,0.004718548142612885,0.0002636990846996326,1.1557232958340351e-06
185,hastie,CF-Iso,0,0.9796281800391389,0.057204242652768994,0.7710201993084322,0.07109935119983213,0.5583560115665887,0.00019868604551873716,2.2437296687183585e-05
185,hastie,CF-Iso,1,0.982927819393083,0.05242314194732252,0.7902178319158082,0.32799677321017295,0.0303082785362899,0.00016595865696729237,1.024138228561298e-06
185,hastie,CF-Iso,2,0.9814139669581635,0.053929125217827674,0.7842831156320059,0.9999222385061384,0.4281152887741446,1.6598416100765225e-05,1.1480034276035954e-06
185,hastie,CF-Iso,3,0.9781459406299795,0.05991224080617347,0.7602675033186848,0.1906310932785802,0.941274536903817,0.0003770993202665745,9.256047363521056e-07
185,hastie,CF-Iso,4,0.9828368778557215,0.052105950406555225,0.7914626613783073,0.9366601263674553,0.5784868558123029,9.283574449427106e-05,2.1011749765527342e-05
185,hastie,CF-Iso,5,0.9847099912474846,0.048824420447114866,0.8046709787552431,0.0,0.016748892227147545,0.0008950707837432324,4.665485952951529e-06
185,hastie,CF-Iso,6,0.9800493382671601,0.056698715331699415,0.7731824569188942,0.7412379869692876,0.37117740565090873,0.00012547913625181366,1.1452102722017578e-06
185,hastie,CF-Iso,7,0.9870571716589862,0.046386313185205134,0.814442871602962,0.0027970416171643198,5.092035304249669e-05,0.0010195743195021882,6.746967084644978e-05
185,hastie,CF-Iso,8,0.9772357279018985,0.0601768980355334,0.7592307709352258,0.0,0.8956574399535886,0.00016846595685090975,5.165853355322375e-06
185,hastie,CF-Iso,9,0.9837771159317212,0.04995771581614563,0.8001336049318498,0.24923911817457278,0.029655824457499307,0.00030073299137334676,1.4961949718904356e-05
210,hastie,CF-Iso,0,0.9796630937555596,0.057321766018178476,0.770549771320225,0.1636711777841996,0.9998849415395991,0.0005409086246438643,9.259529822426475e-06
210,hastie,CF-Iso,1,0.9810832537808369,0.05463711138994352,0.7813581700853156,0.08383410592195295,0.22260461200829174,0.00018391527558231404,1.0243296395152044e-05
210,hastie,CF-Iso,2,0.9821248571108572,0.05277265688743315,0.7889089971773735,0.6972927499325832,0.34784759745468763,0.0001030054476994585,7.438631586760432e-06
210,hastie,CF-Iso,3,0.9800899513430458,0.057082974163349454,0.7715885146334789,0.274466758829607,0.24136625372248233,0.0002910970811674557,5.50069155803531e-08
210,hastie,CF-Iso,4,0.9846914431190315,0.049744865784664104,0.8009121445845062,0.14222638831356216,0.07100716989796872,0.000527949043435313,4.744738027965405e-05
210,hastie,CF-Iso,5,0.9835620292855877,0.05050462205782339,0.7979490938233155,0.0,0.02652208410585465,0.0003764000633009135,7.0470952999731585e-06
210,hastie,CF-Iso,6,0.9814481448144814,0.05383948040034382,0.78462054045267,0.9995410997625321,0.674190509451015,2.8765424207493673e-05,2.0756469710604543e-06
210,hastie,CF-Iso,7,0.9881674649399783,0.044789496102538504,0.8208305487449656,0.0002484800170584611,6.849089967453123e-06,0.001021679203562728,4.623347300527529e-05
210,hastie,CF-Iso,8,0.9797154738279666,0.05661853520768546,0.7734678669431956,0.0,0.9746204993495154,0.0001640165785727325,5.164425866622936e-06
210,hastie,CF-Iso,9,0.9852904960881934,0.04829514889421491,0.8067850550996025,0.5048491056479752,0.03133288406004034,0.00034667081683849716,8.790234409962999e-08
235,hastie,CF-Iso,0,0.9808268101761252,0.05506440063563754,0.7795856583700685,0.0,0.48966366166236897,0.00020494153756327833,3.0253143116834717e-06
235,hastie,CF-Iso,1,0.9840018336720706,0.050871591255685154,0.7964266865531605,0.890565476815975,0.11136708247501918,4.398214391719827e-05,1.9651741774227678e-06
235,hastie,CF-Iso,2,0.9817237452866584,0.052500050191025174,0.7899994259015453,0.11153924631518863,0.5141732723360267,0.0002635962149026483,2.8923323206294423e-09
235,hastie,CF-Iso,3,0.979568658590371,0.05831258715905761,0.7666683482460028,0.4636786750436448,0.4541253710814991,0.0001240097217671394,2.2919690700630833e-06
235,hastie,CF-Iso,4,0.985716890306945,0.0479606246459269,0.8080529969368468,0.5307744940264338,0.47524795896303307,0.00042823860772709077,6.123026348144967e-05
235,hastie,CF-Iso,5,0.9848584595128373,0.04936390742961641,0.8025126845389203,0.0,0.003938460606278202,0.0006217384613129127,6.7585776508910575e-06
235,hastie,CF-Iso,6,0.9820130901979086,0.05331587982379648,0.7867151522200361,0.7829527730553678,0.11218259201882828,7.457105491953634e-05,1.4623565754851122e-05
235,hastie,CF-Iso,7,0.9876712109575012,0.045336300931281395,0.8186431894389985,0.0067494194434393195,0.004371533416203754,0.0007976533876310662,4.329737013634174e-05
235,hastie,CF-Iso,8,0.9806648279737391,0.05546642168633471,0.7780775010949414,0.08901980543573196,0.8914713066660361,0.0003303104530403049,3.049622167624372e-06
235,hastie,CF-Iso,9,0.9853533961593172,0.04839595686213217,0.8063817515295211,0.4043662126919676,0.041102637298647174,0.0002620336712446186,1.312478707429121e-06
260,hastie,CF-Iso,0,0.9801719000177904,0.05653737283293691,0.773689576811763,0.4493232174654689,0.9667792895401102,0.00033660134103213944,2.7413609106285074e-07
260,hastie,CF-Iso,1,0.9834965067302079,0.05077002492435785,0.7968331254730484,0.0,0.2078650972338637,7.867487535964607e-05,3.1865824504637876e-06
260,hastie,CF-Iso,2,0.9833521926261203,0.05084713215838716,0.7966111097862021,0.9051024810717975,0.6393753171691063,8.522086455589545e-05,1.191460766721698e-06
260,hastie,CF-Iso,3,0.9799603506288412,0.05715351249127051,0.7713062629727716,0.618351760796492,0.9077743947628074,0.00010815323639507121,3.7474145419951024e-06
260,hastie,CF-Iso,4,0.9837329212571289,0.050558558366670885,0.7976556012495524,0.0,0.595756264672305,0.00012373075650643685,2.5752813797609128e-05
260,hastie,CF-Iso,5,0.9849409171871575,0.04846293611805648,0.8061171481013139,0.0,0.044140042963552895,0.0008079286260755274,1.3742558758618065e-06
260,hastie,CF-Iso,6,0.9825206965140958,0.05256180425236055,0.7897317561661744,0.0,0.04011299654072845,0.00027982550960290635,3.6121371907674022e-06
260,hastie,CF-Iso,7,0.9875052003328213,0.04552523270100075,0.8178874139904924,0.0032366597675963504,0.000295391564418977,0.000840512475068786,2.7749304449599884e-05
260,hastie,CF-Iso,8,0.9805861411632488,0.05549034231985613,0.7779817940598548,0.0,0.3889578107995312,9.80947167997568e-05,1.1819396281676046e-05
260,hastie,CF-Iso,9,0.9847041696301565,0.04926711539407969,0.8028964978010681,0.0,0.04597240286326499,0.00018877976345998076,4.4508074126579846e-07
285,hastie,CF-Iso,0,0.9810591976516634,0.05459976193733871,0.7814455357427289,0.0674815711850093,0.8663591729643149,9.025934533996869e-05,9.190515054349956e-06
285,hastie,CF-Iso,1,0.9839762671967893,0.050378475315389346,0.7983999931355107,0.7776374874201959,0.6467168821775083,8.261322647677007e-05,5.768850756465086e-06
