depth,dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
5,hastie,CF-Iso,0,0.9628842732609855,0.0780594280558972,0.6875400940655245,0.14670840250783956,0.0011862329433028579,0.0004429981442107581,6.552657985315112e-06
5,hastie,CF-Iso,1,0.957707491955453,0.0833336598757365,0.6665229287346157,0.16685215669495723,0.02468006959270905,0.0004164419006917017,6.8897694290296475e-06
5,hastie,CF-Iso,2,0.9514219136389577,0.08946955780032784,0.642121132569591,0.06869842694691708,0.23609905044238821,0.0005319758651669693,6.055473112366099e-07
5,hastie,CF-Iso,3,0.946889938538584,0.09174724588153026,0.6328830966284376,0.020099382078742845,0.8544309868280284,0.0007466517756453006,2.2424473445934514e-07
5,hastie,CF-Iso,4,0.9622429989661038,0.07916409225894534,0.6831711352489653,0.06571898575280644,0.002960853950308734,0.0005146982245664282,5.619921711416329e-05
5,hastie,CF-Iso,5,0.9654446780127834,0.07605099757507207,0.6957471940272868,2.8478446506552402e-05,2.0601281982408009e-07,0.0013835120473685485,4.208041751812631e-05
5,hastie,CF-Iso,6,0.9631592048093699,0.07849759687556328,0.6859782103187788,0.001586125632340618,1.4412218668565289e-05,0.000739895430273394,3.0873269614586584e-05
5,hastie,CF-Iso,7,0.9665154125419582,0.07442163954271132,0.7022943886700297,9.036736105139109e-05,9.699989074789791e-08,0.0008642464494073764,5.529281547474188e-05
5,hastie,CF-Iso,8,0.9563399341342496,0.08494623893276666,0.6601280370464172,6.467824423572743e-05,4.492255539608144e-05,0.0011589833444235035,6.103701517861905e-07
5,hastie,CF-Iso,9,0.9647057254623044,0.07639463277127555,0.694367134183197,0.026768917042069518,0.000305723725670559,0.0009183271798884991,5.2602673583482444e-05
7,hastie,CF-Iso,0,0.9700789450275752,0.07021975485226016,0.7189211022636802,0.08482693024656329,0.02727275012307891,0.0003994669394528735,1.868360159645299e-05
7,hastie,CF-Iso,1,0.9709884977539296,0.06929418754840579,0.7227048139513579,0.11700370883839384,0.003135406994384316,0.0003679192491775325,1.012702924604615e-06
7,hastie,CF-Iso,2,0.9661234953306583,0.07429931686626136,0.7028022041833175,0.33131628448091255,0.26994077356437784,0.00010202145558095902,2.1977921082374215e-07
7,hastie,CF-Iso,3,0.9673023844753017,0.07293930309549354,0.7081410910026241,0.36521705002749827,0.08280392582800448,0.0004645366883008923,2.768027648919481e-05
7,hastie,CF-Iso,4,0.975986926215384,0.06246553308219499,0.7500017575169793,0.01184014651875398,0.00037662565672597976,0.0008181075048485419,5.71382743611992e-05
7,hastie,CF-Iso,5,0.9724958093276299,0.06816280141400967,0.7273050419529147,0.007838304556056497,0.00031010662800041777,0.0008203329889694287,3.125900033771411e-05
7,hastie,CF-Iso,6,0.9712295674011846,0.06917797750957903,0.7232604160032843,0.01648674753790591,2.2184844856293127e-05,0.000698028964511589,6.392413028041952e-06
7,hastie,CF-Iso,7,0.9807136545627809,0.057318744196980145,0.7707103486743946,1.8100633748519002e-06,1.5214667602690564e-07,0.0016681319851033505,0.00010076084295630542
7,hastie,CF-Iso,8,0.9685710653038289,0.0719226895960734,0.7122355739226306,0.0,0.0016416199942690403,0.00046716295657337435,2.4340491998838066e-06
7,hastie,CF-Iso,9,0.9742418652204836,0.06374775639557975,0.7449636346193911,0.050681312155888225,9.545065281651358e-05,0.0007430070208602438,2.7360389664222197e-08
9,hastie,CF-Iso,0,0.9744227005870841,0.06488374314419657,0.7402803378857102,0.0037061287414822397,0.0037598092935583116,0.001081474226329765,2.1278495905387902e-05
9,hastie,CF-Iso,1,0.9778696589965759,0.05956381506137696,0.7616429348035348,0.1929354835735867,0.02352129409704461,0.00027317857073627986,2.1229527268447646e-05
9,hastie,CF-Iso,2,0.9779426274535599,0.05933970645399848,0.76264075221201,0.0008965385691622751,0.00030229500246972755,0.0012493384140323045,3.288754351420993e-05
9,hastie,CF-Iso,3,0.9753945374743911,0.06290395902737582,0.7482964591900545,0.01861408416863497,0.004127940202066747,0.0005168942933427216,1.7605907729934274e-05
